id	summary	status	owner	type	component	version
3360	One Django badge on community page is cut off.	closed	jezdez		*.djangoproject.com	master
3357	Make Django's server optionally multithreaded	closed	adrian	Uncategorized	django-admin.py runserver	master
3356	Ability to turn off new message in the Message framework when using create/edit/delete generic view	closed	nobody		Generic views	master
3355	filter() with related table stomps on extra(tables)	closed	adrian		"Database layer (models, ORM)"	master
3354	Tutorial pages on website should direct users to django-users with problems	closed	jacob		Documentation	master
3353	NullBooleanField is not translated	closed	hugo		Translations	master
3352	"failing sqlite3 query with error ""database or disk is full"""	closed	adrian	Uncategorized	"Database layer (models, ORM)"	master
3351	Add block name to endblock (feature request)	closed	adrian		Template system	master
3350	Django should call time.tzset after setting TZ environment variable.	closed	anonymous		Core (Other)	master
3349	If an ImportError occurs within some loaders a rather confusing exception is raised.	closed	nobody		Template system	master
3348	Reopen #1961	closed	jacob		Uncategorized	master
3347	wiki page DjangoPoweredSites needs reverted	closed	jacob		Uncategorized	master
3346	Document that Admin search_fields can be from related models	closed	jacob		Documentation	master
3344	newforms UnicodeEncodeError in EmailField on non-successful validation	closed	adrian		Forms	master
3343	Doctest find() doesn't work for model subpackage (models/__init__.py)	closed	nobody	Bug	Testing framework	master
3342	ForeignKey relation doesn't work with newforms form_for_model() save	closed	adrian		Forms	master
3341	Man pages for executable scripts in django/bin/	closed	jacob		Documentation	master
3339	RSS on code.djangoproject.com/timeline doesn't work after upgrade	closed	jacob		*.djangoproject.com	master
3338	build_rpm problems	closed	jacob		Uncategorized	master
3337	"[patch] newforms-fields better calls super(CLASS,self) instead class-method Field"	closed	adrian		Forms	master
3335	Flatpages with DEBUG=False requires 404.html	closed	adrian		Contrib apps	master
3334	Dynamic Creation of newforms Persists field data	closed	adrian		Forms	master
3333	"Documentation should use relative links, not hard-coded djangoproject.com links"	closed	jacob		Documentation	master
3332	field.attname should be used rather than using field.column	closed	adrian		contrib.admin	master
3331	Client.login() fails when URL contains character requiring urlencoding	closed	adrian		Testing framework	master
